block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,faces.started,response.started,faces.stopped,response.stopped,trial_ex.stopped,trial_loop.response.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.00783390000287909,0.015155800007050857,0.015155800007050857,0.015155800007050857,2.9548311000107788,space,2.9359989000076894,None,,,,,,,,,,459802,001,2025-05-04_16h44.36.322,project,2024.2.4,164.975393931891,2025-05-04 16h44.44.135214 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,None,0,0,0,0,2.9915770000079647,,,,,,,,,,2.987348499998916,3.9432690999965416,4.90668500000902,4.955275500004063,4.955275500004063,6.973109200000181,6.973109200000181,6.94407460000366,None,459802,001,2025-05-04_16h44.36.322,project,2024.2.4,164.975393931891,2025-05-04 16h44.44.135214 +0700,
1,2,faces/unknown/unknown_174.jpg,unknown,1,1,0,None,0,1,1,1,6.973109200000181,,,,,,,,,,6.970227600002545,7.936247700010426,8.748458600006416,8.936549999998533,8.936549999998533,10.960571100004017,10.960571100004017,10.925895100008347,None,459802,001,2025-05-04_16h44.36.322,project,2024.2.4,164.975393931891,2025-05-04 16h44.44.135214 +0700,
1,3,faces/unknown/unknown_66.jpg,unknown,2,2,0,None,0,2,2,2,10.960571100004017,,,,,,,,,,10.953944399996544,11.918147500007763,12.737182500000927,12.918348400009563,12.918348400009563,14.93622580000374,14.93622580000374,14.907935800001724,None,459802,001,2025-05-04_16h44.36.322,project,2024.2.4,164.975393931891,2025-05-04 16h44.44.135214 +0700,
1,4,faces/unknown/unknown_267.jpg,unknown,3,3,0,None,0,3,3,3,14.93622580000374,,,,,,,,,,14.93246779999754,15.90040530000988,16.705895100007183,16.900105300010182,16.900105300010182,18.917965400003595,18.917965400003595,18.888956800001324,None,459802,001,2025-05-04_16h44.36.322,project,2024.2.4,164.975393931891,2025-05-04 16h44.44.135214 +0700,
1,5,faces/unknown/unknown_210.jpg,unknown,4,4,0,,0,4,4,4,18.917965400003595,,,,,,,,,,18.91371030001028,,,,,,,,,,,,,,,,
