block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,faces.stopped,trial_loop.response.keys,end_block.started,pressed_trials,text_3.started,text_3.stopped,end_block.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.006358099999488331,0.009619100004783832,0.009619100004783832,0.009619100004783832,2.225629900000058,space,2.2121188000019174,None,,,,,,,,,,,,,,,588039,001,2025-05-04_17h11.43.748,project,2024.2.4,163.17499377178245,2025-05-04 17h11.47.283209 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,None,0,0,0,0,2.233859300002223,,,,,,,,,,2.2297835999925155,3.21741870000551,4.100961499992991,4.060407400000258,4.087106899998616,4.100961499992991,4.100961499992991,6.065346300005331,None,,,,,,588039,001,2025-05-04_17h11.43.748,project,2024.2.4,163.17499377178245,2025-05-04 17h11.47.283209 +0700,
1,2,faces/unknown/unknown_174.jpg,unknown,1,1,0,None,0,1,1,1,6.070083900005557,,,,,,,,,,6.065444499996374,7.0522290999942925,7.991848699995899,7.956589099994744,7.984305799996946,7.991848699995899,7.991848699995899,9.956646099992213,None,,,,,,588039,001,2025-05-04_17h11.43.748,project,2024.2.4,163.17499377178245,2025-05-04 17h11.47.283209 +0700,
1,3,faces/unknown/unknown_66.jpg,unknown,2,2,0,None,0,2,2,2,9.961403799999971,,,,,,,,,,9.956763299996965,10.949012299999595,11.700685799994972,11.666365400000359,11.694715399993584,11.700685799994972,11.700685799994972,13.671323000002303,None,,,,,,588039,001,2025-05-04_17h11.43.748,project,2024.2.4,163.17499377178245,2025-05-04 17h11.47.283209 +0700,
1,4,faces/unknown/unknown_267.jpg,unknown,3,3,0,None,0,3,3,3,13.676395999995293,,,,,,,,,,13.671420200000284,14.65792739999597,15.489493400003994,15.459335899999132,15.483007100003306,15.489493400003994,15.489493400003994,17.460070600005565,None,,,,,,588039,001,2025-05-04_17h11.43.748,project,2024.2.4,163.17499377178245,2025-05-04 17h11.47.283209 +0700,
1,5,faces/unknown/unknown_210.jpg,unknown,4,4,0,None,0,4,4,4,17.46413009999378,,,,,,,,,,17.460250799995265,18.452133800004958,19.300771399997757,19.272295699993265,19.297122000003583,19.300771399997757,19.300771399997757,21.27746019999904,None,,,,,,588039,001,2025-05-04_17h11.43.748,project,2024.2.4,163.17499377178245,2025-05-04 17h11.47.283209 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.277531600004295,set(),21.28242039999168,22.275933500000974,22.27121520000219,588039,001,2025-05-04_17h11.43.748,project,2024.2.4,163.17499377178245,2025-05-04 17h11.47.283209 +0700,
