block,trial,image,type,thisN,thisTrialN,thisRepN,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,trial_ex.stopped,faces.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.00592049999977462,0.015362799997092225,0.015362799997092225,0.015362799997092225,0.7484199000027729,space,0.7267379999975674,None,,,,,,382456,001,2025-05-04_16h57.31.597,project,2024.2.4,165.58868436251407,2025-05-04 16h57.35.358281 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,0,0,0,0,0.760239700000966,,,,,,,,,,0.7523701000027359,1.742357199997059,,2.4188410000060685,2.462856300000567,,,,,,,,
