block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,faces.started,response.started,faces.stopped,response.stopped,trial_ex.stopped,trial_loop.response.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.006758400006219745,0.01214480001362972,0.01214480001362972,0.01214480001362972,5.087418500013882,space,5.067365900002187,None,,,,,,,,,,820426,001,2025-05-02_15h11.33.742,project,2024.2.4,164.62802303629488,2025-05-02 15h11.41.255358 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,None,0,0,0,0,5.150398300000234,,,,,,,,,,5.1420439000066835,6.078318700019736,7.072485900018364,7.0905883999948855,7.0905883999948855,9.114041900000302,9.114041900000302,9.080294899991713,None,820426,001,2025-05-02_15h11.33.742,project,2024.2.4,164.62802303629488,2025-05-02 15h11.41.255358 +0700,
1,2,faces/unknown/unknown_174.jpg,unknown,1,1,0,None,0,1,1,1,9.114041900000302,,,,,,,,,,9.109012900007656,10.072270800010301,11.065704800013918,11.072999099997105,11.072999099997105,13.09634410002036,13.09634410002036,13.061654499993892,None,820426,001,2025-05-02_15h11.33.742,project,2024.2.4,164.62802303629488,2025-05-02 15h11.41.255358 +0700,
1,3,faces/unknown/unknown_66.jpg,unknown,2,2,0,None,0,2,2,2,13.09634410002036,,,,,,,,,,13.092333300010068,14.054064700001618,15.04846429999452,15.053781900001923,15.053781900001923,17.077566599997226,17.077566599997226,17.04319339999347,None,820426,001,2025-05-02_15h11.33.742,project,2024.2.4,164.62802303629488,2025-05-02 15h11.41.255358 +0700,
1,4,faces/unknown/unknown_267.jpg,unknown,3,3,0,,0,3,3,3,17.077566599997226,,,,,,,,,,17.069476800010307,18.03553950000787,19.029581800015876,19.039413699996658,19.039413699996658,,,,,,,,,,,,
