block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,faces.started,response.started,faces.stopped,response.stopped,trial_ex.stopped,trial_loop.response.keys,end_block.started,pressed_trials,text_3.started,text_3.stopped,end_block.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.00681909998820629,0.009706199998618104,0.009706199998618104,0.009706199998618104,1.2682325999921886,space,1.2530779000080656,None,,,,,,,,,,,,,,,043625,001,2025-05-04_16h41.20.303,project,2024.2.4,163.90030273365332,2025-05-04 16h41.24.222799 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,None,0,0,0,0,1.313374899997143,,,,,,,,,,1.2983630999951856,2.258866499993019,3.1917052999924636,3.258195899994462,3.258195899994462,5.276891799992882,5.276891799992882,5.242654199988465,None,,,,,,043625,001,2025-05-04_16h41.20.303,project,2024.2.4,163.90030273365332,2025-05-04 16h41.24.222799 +0700,
1,2,faces/unknown/unknown_174.jpg,unknown,1,1,0,None,0,1,1,1,5.276891799992882,,,,,,,,,,5.26932669999951,6.235030299998471,6.888927199994214,7.234062499992433,7.234062499992433,9.258672099997057,9.258672099997057,9.223589199988055,None,,,,,,043625,001,2025-05-04_16h41.20.303,project,2024.2.4,163.90030273365332,2025-05-04 16h41.24.222799 +0700,
1,3,faces/unknown/unknown_66.jpg,unknown,2,2,0,None,0,2,2,2,9.258672099997057,,,,,,,,,,9.253473899996607,10.215910099999746,10.967395200001192,11.215876199988998,11.215876199988998,13.234232299990254,13.234232299990254,13.205242699987139,None,,,,,,043625,001,2025-05-04_16h41.20.303,project,2024.2.4,163.90030273365332,2025-05-04 16h41.24.222799 +0700,
1,4,faces/unknown/unknown_267.jpg,unknown,3,3,0,None,0,3,3,3,13.234232299990254,,,,,,,,,,13.230564899989986,14.197488499994506,14.918479899992235,15.197270399992703,15.197270399992703,17.222069799987366,17.222069799987366,17.18697609999799,None,,,,,,043625,001,2025-05-04_16h41.20.303,project,2024.2.4,163.90030273365332,2025-05-04 16h41.24.222799 +0700,
1,5,faces/unknown/unknown_210.jpg,unknown,4,4,0,None,0,4,4,4,17.222069799987366,,,,,,,,,,17.213935899999342,18.179318099995726,18.79202599999553,19.17930579998938,19.17930579998938,21.167308599993703,21.167308599993703,21.16345100000035,None,,,,,,043625,001,2025-05-04_16h41.20.303,project,2024.2.4,163.90030273365332,2025-05-04 16h41.24.222799 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16351249998843,set(),21.167308599993703,22.161066099986783,22.156588199999533,043625,001,2025-05-04_16h41.20.303,project,2024.2.4,163.90030273365332,2025-05-04 16h41.24.222799 +0700,
