block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,faces.stopped,trial_loop.response.keys,end_block.started,text_3.started,text_3.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.010682199994334951,0.013804499991238117,0.013804499991238117,0.013804499991238117,0.8847336000035284,space,0.8624066000047605,None,,,,,,,,,,,,,,,871288,001,2025-05-04_17h12.58.574,project,2024.2.4,164.93104232214085,2025-05-04 17h13.02.670178 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,None,0,0,0,0,0.8922161999944365,,,,,,,,,,0.8885212000022875,1.8744198999920627,2.5656119999912335,2.524775800004136,2.549838099992485,2.5656119999912335,2.5656119999912335,4.530258400001912,None,,,,,,871288,001,2025-05-04_17h12.58.574,project,2024.2.4,164.93104232214085,2025-05-04 17h13.02.670178 +0700,
1,2,faces/unknown/unknown_174.jpg,unknown,1,1,0,None,0,1,1,1,4.53477820000262,,,,,,,,,,4.530360100005055,5.517134800000349,6.147486300003948,6.118140199992922,6.143947899996419,6.147486300003948,6.147486300003948,8.124063399998704,None,,,,,,871288,001,2025-05-04_17h12.58.574,project,2024.2.4,164.93104232214085,2025-05-04 17h13.02.670178 +0700,
1,3,faces/unknown/unknown_66.jpg,unknown,2,2,0,None,0,2,2,2,8.128860099997837,,,,,,,,,,8.124175499993726,9.110551000005216,9.832072999997763,9.796856100001605,9.82554629999504,9.832072999997763,9.832072999997763,11.796907199997804,None,,,,,,871288,001,2025-05-04_17h12.58.574,project,2024.2.4,164.93104232214085,2025-05-04 17h13.02.670178 +0700,
1,4,faces/unknown/unknown_267.jpg,unknown,3,3,0,None,0,3,3,3,11.801677099996596,,,,,,,,,,11.797029699999257,12.789159199994174,13.613623199998983,13.578499399998691,13.607047299999977,13.613623199998983,13.613623199998983,15.584475399999064,None,,,,,,871288,001,2025-05-04_17h12.58.574,project,2024.2.4,164.93104232214085,2025-05-04 17h13.02.670178 +0700,
1,5,faces/unknown/unknown_210.jpg,unknown,4,4,0,None,0,4,4,4,15.589255600003526,,,,,,,,,,15.584582800001954,16.571067299999413,17.347215400004643,17.312038599993684,17.33885430000373,17.347215400004643,17.347215400004643,19.318298900005175,None,,,,,,871288,001,2025-05-04_17h12.58.574,project,2024.2.4,164.93104232214085,2025-05-04 17h13.02.670178 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.318371000001207,19.322514100000262,20.31663539999863,20.31195590000425,,871288,001,2025-05-04_17h12.58.574,project,2024.2.4,164.93104232214085,2025-05-04 17h13.02.670178 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set(),,,,,,,,
