block,trial,image,type,thisN,thisTrialN,thisRepN,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,faces.started,response.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.008304000002681278,0.01145580000593327,0.01145580000593327,0.01145580000593327,0.7764835999987554,space,0.7560297000018181,None,,,,,,606060,001,2025-05-04_16h36.48.916,project,2024.2.4,165.16695075722694,2025-05-04 16h36.52.646987 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,0,0,0,0,0.8176462999981595,,,,,,,,,,0.8133312999998452,1.7693905000051018,2.66008210000291,2.780934200010961,2.780934200010961,,,,,,,,
