block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,faces.stopped,trial_loop.response.keys,end_block.started,text_3.started,text_3.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.008663200002047233,0.01250020001316443,0.01250020001316443,0.01250020001316443,1.2748766000004252,space,1.255779099999927,None,,,,,,,,,,,,,,,705852,001,2025-05-04_17h41.55.918,project,2024.2.4,164.60715680359417,2025-05-04 17h42.00.513846 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,None,0,0,0,0,1.2849751000030665,,,,,,,,,,1.2795539000071585,2.2669407000066712,3.0852188000135357,3.0378942000097595,3.0692722000094363,3.0852188000135357,3.0852188000135357,5.043659800008754,None,,,,,,705852,001,2025-05-04_17h41.55.918,project,2024.2.4,164.60715680359417,2025-05-04 17h42.00.513846 +0700,
1,2,faces/unknown/unknown_174.jpg,unknown,1,1,0,None,0,1,1,1,5.048472300011781,,,,,,,,,,5.043752600002335,6.030483100010315,6.951668200010317,6.9169504000019515,6.94567710001138,6.951668200010317,6.951668200010317,8.922651900007622,None,,,,,,705852,001,2025-05-04_17h41.55.918,project,2024.2.4,164.60715680359417,2025-05-04 17h42.00.513846 +0700,
1,3,faces/unknown/unknown_66.jpg,unknown,2,2,0,None,0,2,2,2,8.927410000003874,,,,,,,,,,8.922750500001712,9.908870700004627,10.679169000010006,10.643948400000227,10.673087700008182,10.679169000010006,10.679169000010006,12.649445900009596,None,,,,,,705852,001,2025-05-04_17h41.55.918,project,2024.2.4,164.60715680359417,2025-05-04 17h42.00.513846 +0700,
1,4,faces/unknown/unknown_267.jpg,unknown,3,3,0,None,0,3,3,3,12.654109000010067,,,,,,,,,,12.649542099999962,13.636266800007434,14.42459830000007,14.389912200000254,14.417120500002056,14.42459830000007,14.42459830000007,16.395265600003768,None,,,,,,705852,001,2025-05-04_17h41.55.918,project,2024.2.4,164.60715680359417,2025-05-04 17h42.00.513846 +0700,
1,5,faces/unknown/unknown_210.jpg,unknown,4,4,0,None,0,4,4,4,16.399623700010125,,,,,,,,,,16.39539400000649,17.3816688000079,18.22405490001256,18.189689999999246,18.216157500006375,18.22405490001256,18.22405490001256,20.194702200009488,None,,,,,,705852,001,2025-05-04_17h41.55.918,project,2024.2.4,164.60715680359417,2025-05-04 17h42.00.513846 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.19476040000154,20.199543900002027,21.193400300006033,21.189191100012977,,705852,001,2025-05-04_17h41.55.918,project,2024.2.4,164.60715680359417,2025-05-04 17h42.00.513846 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set(),,,,,,,,
