block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,faces.started,response.started,faces.stopped,response.stopped,trial_ex.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,pressed_trials,text_3.started,text_3.stopped,end_block.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.007967700003064238,0.012649600001168437,0.012649600001168437,0.012649600001168437,3.693266100002802,space,3.6754346000088844,None,,,,,,,,,,,,,,,,,7777,001,2025-05-04_16h18.50.001,project,2024.2.4,166.1667816272524,2025-05-04 16h18.56.166605 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,space,0.3823151000106009,0.06190489999426063,0,0,0,0,3.7337369000015315,,,,,,,,,,3.7271925999957602,4.685446500006947,5.612550000005285,5.691380999996909,5.691380999996909,7.709554899993236,7.709554899993236,7.68093869999575,space,0.3823151000106009,0.06190489999426063,,,,,,7777,001,2025-05-04_16h18.50.001,project,2024.2.4,166.1667816272524,2025-05-04 16h18.56.166605 +0700,
1,2,faces/unknown/unknown_174.jpg,unknown,1,1,0,space,1.694425499998033,0.07712879999598954,0,1,1,1,7.709554899993236,,,,,,,,,,7.705666399997426,8.673427999994601,9.424817799997982,9.67334409999603,9.67334409999603,11.697407500003465,11.697407500003465,11.662710699994932,space,1.694425499998033,0.07712879999598954,,,,,,7777,001,2025-05-04_16h18.50.001,project,2024.2.4,166.1667816272524,2025-05-04 16h18.56.166605 +0700,
1,3,faces/unknown/unknown_66.jpg,unknown,2,2,0,space,1.940578000008827,None,0,2,2,2,11.697407500003465,,,,,,,,,,11.690596400003415,12.654559799993876,13.297157199995127,13.65541540000413,13.65541540000413,15.673006400000304,15.673006400000304,15.644226999997045,space,1.940578000008827,None,,,,,,7777,001,2025-05-04_16h18.50.001,project,2024.2.4,166.1667816272524,2025-05-04 16h18.56.166605 +0700,
1,4,faces/unknown/unknown_267.jpg,unknown,3,3,0,space,0.4462472000013804,0.07186579999688547,0,3,3,3,15.673006400000304,,,,,,,,,,15.668226099995081,16.636513899997226,17.50317979999818,17.636811100004707,17.636811100004707,19.655136500005028,19.655136500005028,19.626326500001596,space,0.4462472000013804,0.07186579999688547,,,,,,7777,001,2025-05-04_16h18.50.001,project,2024.2.4,166.1667816272524,2025-05-04 16h18.56.166605 +0700,
1,5,faces/unknown/unknown_210.jpg,unknown,4,4,0,space,0.7484793000039645,0.07514410000294447,0,4,4,4,19.655136500005028,,,,,,,,,,19.651692400002503,20.618574000007357,21.545093699998688,21.618419599995832,21.618419599995832,23.61197290000564,23.61197290000564,23.607273999994504,space,0.7484793000039645,0.07514410000294447,,,,,,7777,001,2025-05-04_16h18.50.001,project,2024.2.4,166.1667816272524,2025-05-04 16h18.56.166605 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.60740470000019,"{1, 2, 3, 4, 5}",23.61197290000564,24.606150499996147,24.601672300006612,7777,001,2025-05-04_16h18.50.001,project,2024.2.4,166.1667816272524,2025-05-04 16h18.56.166605 +0700,
