block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,faces.started,response.started,faces.stopped,response.stopped,trial_ex.stopped,trial_loop.response.keys,end_block.started,pressed_trials,text_3.started,text_3.stopped,end_block.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.020066099998075515,0.033894500011228956,0.033894500011228956,0.033894500011228956,5.2484954000101425,space,5.210745100004715,None,,,,,,,,,,,,,,,8888,001,2025-05-04_16h13.00.119,project,2024.2.4,163.23412507161547,2025-05-04 16h13.05.694611 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,None,0,0,0,0,5.2811818000045605,,,,,,,,,,5.277618400010397,6.239233200001763,6.971488100010902,7.244565100001637,7.244565100001637,9.262539600007585,9.262539600007585,9.233471500003361,None,,,,,,8888,001,2025-05-04_16h13.00.119,project,2024.2.4,163.23412507161547,2025-05-04 16h13.05.694611 +0700,
1,2,faces/unknown/unknown_174.jpg,unknown,1,1,0,None,0,1,1,1,9.262539600007585,,,,,,,,,,9.258777000010014,10.225810400006594,10.959525600002962,11.22621049999725,11.22621049999725,13.250394500006223,13.250394500006223,13.215680100009195,None,,,,,,8888,001,2025-05-04_16h13.00.119,project,2024.2.4,163.23412507161547,2025-05-04 16h13.05.694611 +0700,
1,3,faces/unknown/unknown_66.jpg,unknown,2,2,0,None,0,2,2,2,13.250394500006223,,,,,,,,,,13.24293249999755,14.207795599999372,14.941156200002297,15.20789479999803,15.20789479999803,17.22611110001162,17.22611110001162,17.197339500009548,None,,,,,,8888,001,2025-05-04_16h13.00.119,project,2024.2.4,163.23412507161547,2025-05-04 16h13.05.694611 +0700,
1,4,faces/unknown/unknown_267.jpg,unknown,3,3,0,None,0,3,3,3,17.22611110001162,,,,,,,,,,17.221662800002377,18.18990389999817,18.922789100004593,19.18957319999754,19.18957319999754,21.207765300001483,21.207765300001483,21.178688700005296,None,,,,,,8888,001,2025-05-04_16h13.00.119,project,2024.2.4,163.23412507161547,2025-05-04 16h13.05.694611 +0700,
1,5,faces/unknown/unknown_210.jpg,unknown,4,4,0,None,0,4,4,4,21.207765300001483,,,,,,,,,,21.20388840000669,22.17119160000584,22.90431080000417,23.171241500007454,23.171241500007454,25.165148000000045,25.165148000000045,25.160376700005145,None,,,,,,8888,001,2025-05-04_16h13.00.119,project,2024.2.4,163.23412507161547,2025-05-04 16h13.05.694611 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.16044980000879,set(),25.165148000000045,26.15969500000938,26.155346600004123,8888,001,2025-05-04_16h13.00.119,project,2024.2.4,163.23412507161547,2025-05-04 16h13.05.694611 +0700,
