block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,text.started,text_2.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,cross.started,cross.stopped,faces.started,response.started,faces.stopped,response.stopped,trial_ex.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,pressed_trials,text_3.started,text_3.stopped,end_block.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.009630299871787429,0.014598599867895246,0.014598599867895246,0.014598599867895246,1.214048899943009,space,1.194672100013122,None,,,,,,,,,,,,,,,,,55555,001,2025-04-29_22h26.56.854,project,2024.2.4,165.61556010870493,2025-04-29 22h27.02.416254 +0700,
1,1,faces/unknown/unknown_48.jpg,unknown,0,0,0,space,0.4401244001928717,0.07793279993347824,0,0,0,0,1.2564475999679416,,,,,,,,,,1.2506335999350995,2.208182599861175,2.6989637999795377,3.2139147999696434,3.2139147999696434,5.23233629995957,5.23233629995957,5.198180699953809,space,0.4401244001928717,0.07793279993347824,,,,,,55555,001,2025-04-29_22h26.56.854,project,2024.2.4,165.61556010870493,2025-04-29 22h27.02.416254 +0700,
1,2,faces/unknown/unknown_174.jpg,unknown,1,1,0,space,0.46050929999910295,0.06656749988906085,0,1,1,1,5.23233629995957,,,,,,,,,,5.22537919995375,6.207987499888986,6.698669999837875,7.207841699942946,7.207841699942946,9.232474999967963,9.232474999967963,9.197289099916816,space,0.46050929999910295,0.06656749988906085,,,,,,55555,001,2025-04-29_22h26.56.854,project,2024.2.4,165.61556010870493,2025-04-29 22h27.02.416254 +0700,
1,3,faces/unknown/unknown_66.jpg,unknown,2,2,0,space,0.6776975998654962,0.11312550003640354,0,2,2,2,9.232474999967963,,,,,,,,,,9.224962799809873,10.2082764999941,10.698628099868074,11.20814389991574,11.20814389991574,13.226108699804172,13.226108699804172,13.197350499918684,space,0.6776975998654962,0.11312550003640354,,,,,,55555,001,2025-04-29_22h26.56.854,project,2024.2.4,165.61556010870493,2025-04-29 22h27.02.416254 +0700,
1,4,faces/unknown/unknown_267.jpg,unknown,3,3,0,space,0.8148153000511229,0.09019190003164113,0,3,3,3,13.226108699804172,,,,,,,,,,13.223148299846798,14.20774249988608,14.698907399782911,15.207881899783388,15.207881899783388,17.231882399879396,17.231882399879396,17.197150899795815,space,0.8148153000511229,0.09019190003164113,,,,,,55555,001,2025-04-29_22h26.56.854,project,2024.2.4,165.61556010870493,2025-04-29 22h27.02.416254 +0700,
1,5,faces/unknown/unknown_210.jpg,unknown,4,4,0,None,,,0,4,4,4,17.231882399879396,,,,,,,,,,17.22512469999492,18.207705599954352,18.698430999880657,19.20745339989662,19.20745339989662,21.201325099915266,21.201325099915266,21.196626599878073,None,,,,,,,,55555,001,2025-04-29_22h26.56.854,project,2024.2.4,165.61556010870493,2025-04-29 22h27.02.416254 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.196712599834427,"{1, 2, 3, 4}",21.207376200007275,22.20116739999503,22.196634399937466,55555,001,2025-04-29_22h26.56.854,project,2024.2.4,165.61556010870493,2025-04-29 22h27.02.416254 +0700,
