28.6989 	INFO 	Keyboard events cleared
28.6986 	EXP 	fixation: autoDraw = False
28.6986 	EXP 	fixation: autoDraw = False
28.6986 	EXP 	faces_image: image = 'faces/known/known_4.jpg'
28.6986 	EXP 	faces_image: autoDraw = True
29.5390 	DATA 	Keypress: space
30.6693 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'block': 1, 'trial': 5, 'image': 'faces/unknown/unknown_114.jpg', 'type': 'unknown', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
30.6770 	EXP 	faces_image: autoDraw = False
31.6520 	EXP 	fixation: autoDraw = True
32.5516 	INFO 	Keyboard events cleared
32.5513 	EXP 	fixation: autoDraw = False
32.5513 	EXP 	fixation: autoDraw = False
32.5513 	EXP 	faces_image: image = 'faces/unknown/unknown_114.jpg'
32.5513 	EXP 	faces_image: autoDraw = True
34.5193 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'block': 1, 'trial': 6, 'image': 'faces/known/known_2.jpg', 'type': 'known', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
34.5272 	EXP 	faces_image: autoDraw = False
35.5104 	EXP 	fixation: autoDraw = True
36.1031 	WARNING 	Requested image 'faces/known/known_2.jpg' not found but similar filename 'faces/known/known_2.png' exists. This will be used instead but changing the filename is advised.
36.1423 	INFO 	Keyboard events cleared
36.1419 	EXP 	fixation: autoDraw = False
36.1419 	EXP 	fixation: autoDraw = False
36.1419 	EXP 	faces_image: image = 'faces/known/known_2.jpg'
36.1419 	EXP 	faces_image: autoDraw = True
37.0710 	DATA 	Keypress: space
38.1110 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'block': 1, 'trial': 7, 'image': 'faces/known/known_37.jpg', 'type': 'known', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
38.1188 	EXP 	faces_image: autoDraw = False
39.0942 	EXP 	fixation: autoDraw = True
