block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0015619999612681568,0.00320759997703135,0.00320759997703135,30.220736099989153,space,30.20807110000169,None,,,,,,,,,,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,1,faces/unknown/unknown_180.jpg,unknown,0,0,0,None,,,0,0,0,0,30.226839599956293,,,,,,,,,30.22519079997437,31.215619899972808,32.04080109996721,31.999859899980947,32.0311909999582,32.04080109996721,32.04080109996721,34.00782519998029,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,2,faces/unknown/unknown_261.jpg,unknown,1,1,0,None,,,0,1,1,1,34.015850999974646,,,,,,,,,34.00801859999774,34.99070689996006,35.992563999956474,35.958416599954944,35.990380199975334,35.992563999956474,35.992563999956474,37.9659942999715,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,3,faces/unknown/unknown_188.jpg,unknown,2,2,0,None,,,0,2,2,2,37.97411859995918,,,,,,,,,37.96627149998676,38.957369999960065,39.698222999984864,39.66688629996497,39.696316199959256,39.698222999984864,39.698222999984864,41.67438719997881,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,4,faces/known/known_10.jpg,known,3,3,0,None,,,0,3,3,3,41.68252799997572,,,,,,,,,41.67459259997122,42.665833799983375,43.503238299977966,43.45840219996171,43.501368700002786,43.503238299977966,43.503238299977966,45.46627420000732,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,5,faces/unknown/unknown_269.jpg,unknown,4,4,0,None,,,0,4,4,4,45.47408989997348,,,,,,,,,45.4664687999757,46.449085899977945,47.152379799983464,47.116677499958314,47.15042409999296,47.152379799983464,47.152379799983464,49.124588200007565,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,6,faces/unknown/unknown_203.jpg,unknown,5,5,0,None,,,0,5,5,5,49.13232669996796,,,,,,,,,49.12486199999694,50.10735869995551,50.98507930000778,50.95087040000362,50.98295009997673,50.98507930000778,50.98507930000778,52.95764350000536,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,7,faces/unknown/unknown_183.jpg,unknown,6,6,0,None,,,0,6,6,6,52.96572409995133,,,,,,,,,52.957945799978916,53.949119800003245,54.86864559998503,54.83388329995796,54.86672729998827,54.86864559998503,54.86864559998503,56.84114859998226,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,8,faces/unknown/unknown_96.jpg,unknown,7,7,0,None,,,0,7,7,7,56.84902109997347,,,,,,,,,56.84139929997036,57.83245779998833,58.6970306999865,58.65814909996698,58.69481719995383,58.6970306999865,58.6970306999865,60.66612009995151,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,9,faces/unknown/unknown_158.jpg,unknown,8,8,0,None,,,0,8,8,8,60.67423289996805,,,,,,,,,60.66631929995492,61.64932480000425,62.64551899995422,62.60812399996212,62.643226599961054,62.64551899995422,62.64551899995422,64.61604819999775,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,10,faces/unknown/unknown_285.jpg,unknown,9,9,0,None,,,0,9,9,9,64.62414979998721,,,,,,,,,64.61630589998094,65.59915259998525,66.4575711999787,66.41703429998597,66.45556149998447,66.4575711999787,66.4575711999787,68.42466989997774,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,11,faces/unknown/unknown_141.jpg,unknown,10,10,0,None,,,0,10,10,10,68.43267179996474,,,,,,,,,68.42495319998125,69.41576379997423,70.07556209998438,70.04197560000466,70.07366860000184,70.07556209998438,70.07556209998438,72.049478299974,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,12,faces/known/known_28.jpg,known,11,11,0,None,,,0,11,11,11,72.0574845999945,,,,,,,,,72.04969309997978,73.03272179997293,73.94811959995423,73.90063889999874,73.94586169999093,73.94811959995423,73.94811959995423,75.90791349997744,None,,,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
3,13,faces/known/known_7.jpg,known,12,12,0,space,1.23321139998734,0.18500820000190288,0,12,12,12,75.91604139999254,,,,,,,,,75.908034699969,76.89923599996837,77.70747309998842,77.65856730000814,77.70538499997929,77.70747309998842,77.70747309998842,79.6666561999591,space,1.23321139998734,0.18500820000190288,,,,,,101,003,2025-05-07_18h01.20.598,project,2024.2.4,119.53872402189265,2025-05-07 18h01.33.401357 +0700,
